0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:57:08 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:57:09 +0900] "GET /BBS/view.jsp?bbsID=18 HTTP/1.1" 200 3234
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:57:18 +0900] "GET /BBS/update.jsp?bbsID=18 HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:57:21 +0900] "POST /BBS/updateAction.jsp?bbsID=18 HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:57:21 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:57:23 +0900] "GET /BBS/view.jsp?bbsID=18 HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:57:30 +0900] "GET /BBS/deleteAction.jsp?bbsID=18 HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:57:30 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4679
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:58:09 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:58:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
192.168.37.79 - - [28/Nov/2023:17:58:25 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
